INDEXDJX_DJI-2015-04-01;17698.18;17778.52;17585.01;44.71868889317635;-0.4450033845287414;-0.396198931189529;-38.18511897530698;17776.12;17976.31;17786.94688878442;17880.00510856156;17851.695056901666;17353.40447233308;17888.07466666667;17758.467449572126;17854.240467015385;1.0636290063333334E8;18112.61;17763.24
NASDAQ_AAPL-2015-04-01;124.25;125.12;123.1;47.81601036367742;5.108812877263561;-0.2076458752515055;0.028556996192776296;124.43;126.37;124.68318778855178;125.36444252686904;123.05873252589112;109.34761188422529;125.44800000000001;124.52340153525729;125.23878668072076;5.445968363333333E7;132.65;124.75
NASDAQ_ADBE-2015-04-01;75.07;75.1;73.03;47.100914571806;1.6647129345943656;1.721060343679235;-0.640498464696762;73.94;73.6;74.33557149328969;75.57042827490233;75.27317758496764;71.10605376373246;75.88133333333333;74.41495298742606;75.13974571584347;2641321.533333333;76.65;73.15
NASDAQ_AMAT-2015-04-01;22.39;22.67;22.18;34.554466934652595;-6.714604734256328;-0.8932559178204523;-0.45109504900895203;22.56;22.77;22.682434564478292;23.45783160909515;23.78393129045283;22.640525930798617;23.518666666666665;22.536267306715878;23.19536433210628;1.6642318266666668E7;22.55;19.79
NASDAQ_AMGN-2015-04-01;157.1;159.39;154.64;44.08071187462505;-1.7404201145767124;-2.4048376830044504;1.0415164510254442;159.85;164.3;160.4990028671337;160.9697803237132;159.1631941950391;147.86044518385043;162.52799999999996;159.34346941354443;161.4845035613157;3393579.7666666666;169.17;155.28
NASDAQ_AMZN-2015-04-01;370.26;373.16;368.34;48.981783294048384;8.807999783935616;-0.19229730459676692;1.0749333537881967;372.1;374.59;371.5745706437813;372.6525526964068;362.46561394534484;337.903699911009;372.79866666666675;371.2711725091064;372.6661749153648;2555512.2;445.1;372.25
NASDAQ_ARMH-2015-04-01;49.17;49.24;48.26;39.64403344149957;3.4535285743339506;0.061012812690652896;-0.5463736231891119;49.3;49.59;49.626322944980835;51.22667687379159;50.45739249534665;47.14584257912755;51.643333333333324;49.31816589254156;50.82419185479054;1622215.7666666666;54.29;48.84
NASDAQ_COST-2015-04-01;150.24;151.87;149.7;51.25472453444144;3.8771299254526013;-0.45660276890307416;0.9805189785365656;151.5;152.36;151.05545965507844;150.425233801959;148.00922928831693;136.35179981859395;151.02399999999997;150.8809414243944;150.89589012293976;2112556.4;152.5;143.05
NASDAQ_CSCO-2015-04-01;27.25;27.64;27.1;38.75762503737745;-1.7361467889908604;-0.2862385321100765;-0.3460192875132364;27.52;27.65;27.441972868286474;27.992475585230423;28.084207963427314;26.47382714164931;27.86533333333333;27.37284456813476;27.78286254011422;2.72546867E7;29.32;27.13
NASDAQ_EA-2015-04-01;57.28;58.96;57.17;53.36502023628873;11.984287709497224;-1.2185754189944018;0.7452540586879621;58.82;59.47;57.883562043525714;56.911647706303334;54.83780323913125;45.08060144141954;56.694;57.94449312282716;57.27137317700918;3137588.8333333335;59.89;56.03
NASDAQ_EBAY-2015-04-01;57.13;57.73;56.81;43.60423220691188;1.6693506038858454;-0.7806756520217012;0.005811172897878691;57.68;57.92;57.6349972728658;58.12938748708746;57.417672256295056;55.08894717252902;58.389333333333326;57.4526965959745;58.076342133119304;8760983.733333332;59.48;55.79
NASDAQ_EXPE-2015-04-01;94.17;94.18;92.6;57.258008505147096;6.233407666985244;0.4077731761707554;1.217228040210614;94.13;94.19;94.07351000938608;93.05607529319532;90.7840264179192;84.60937980702985;93.7606666666667;94.1021714791645;93.66092285804969;1551687.4;101.69;94.23
NASDAQ_FB-2015-04-01;81.66;82.72;80.87;53.152210729396195;4.87301004163608;-1.2466323781533195;1.1985804892860017;82.22;83.2;82.47827070272746;81.51378608197416;79.69794203462473;74.21894124817271;81.86133333333332;82.19967827722476;82.14137317586263;2.7022403866666667E7;84.63;78.77
NASDAQ_FOX-2015-04-01;32.7;33.14;32.31;42.23253671233414;-4.653822629969415;-0.5993883792048866;-0.19758736772072183;32.88;33.15;32.97753967569416;33.39875913160252;33.63889640093269;33.63564611422499;33.407999999999994;32.84585336708514;33.28604082550353;2395792.3666666667;33.96;32.62
NASDAQ_FSLR-2015-04-01;60.83;61.31;59.01;59.791518899604924;18.275850731546942;1.1869143514713274;1.6080678625647025;59.79;60.69;60.37617877228956;59.50111201764862;55.668344081400456;54.94038593953164;60.50933333333333;60.437555680832716;60.207164183688946;3462601.033333333;64.75;57.34
NASDAQ_GILD-2015-04-01;97.72;98.16;95.38;38.81396738836117;-3.893368808841567;-2.0507572656569844;-0.71119283256931;98.13;100.69;99.18592424110318;100.54092474468983;101.21473829137327;97.31876000840789;100.36266666666666;98.591089889734;100.13465887201383;1.03636065E7;105.2;97.79
NASDAQ_GOOG-2015-04-01;542.56;551.14;539.5;43.32715173595213;1.3387643762901795;-1.2275140076673698;0.5280644903036773;548.0;552.03;548.9987636996185;553.4821546439094;547.2488091605417;543.3963646059951;554.6606666666667;546.4545401161187;553.2660669919479;1730510.1;565.06;524.05
NASDAQ_GRPN-2015-04-01;7.02;7.23;6.99;29.756306940654582;-8.566951566951554;-4.985754985754993;-0.14045308047502036;7.21;7.43;7.3047408176402335;7.607836836755537;7.65541562744103;7.456785205340831;7.607999999999999;7.19358451349316;7.521787956541139;8401875.533333333;7.38;6.79
NASDAQ_INTC-2015-04-01;30.81;31.32;30.65;41.964148008278315;-12.215839013307333;-1.0191496267445521;-0.6649460362428457;31.27;31.46;31.05456600492329;31.530250247068402;32.77816830664486;32.77052571134512;30.906;31.04575537428897;31.202220343725422;3.68136977E7;33.42;30.81
